Player Name,Player Status,Year of Event,Statement Made,Event Description,Platform,Event Type,Media Tone,Post Status,Media Coverage,Sources,URL,title,max_similarity,most_similar_anchor_idx,most_similar_anchor_title
Ben DiNucci,Playing,2025,"Not many beers better than the airport ""I just got cut from the NFL for the 7th time"" beer",Posts after being cut by the Falcons,Twitter/X,Humor,Positive,Active,Medium,"Yahoo Sports, New York Times",https://sports.yahoo.com/article/ben-dinucci-needed-airport-beer-182105778.html,,,,
Carl Nasshib,Playing,2022,❤️❤️@trevorproject,Partnering with the Trevor Project to support young people who are struggling mentally when it comes to being part of the LBGTQ community,Instagram,Support,Positive ,Active ,Low,US Outlet,https://www.nfl.com/news/nfl-trailblazer-carl-nassib-made-enduring-impact-on-nonprofit-the-trevor-project,,,,
Larry Johnson,Retired,2020,Jews do not have a plan for world domination.,"Tweets about anti-semitic tropes, impling that ""Jewish cabal"" was responsible for crimes like sex trafficking, etc. ",Twitter/X,Controversy,Negative,Active,Medium,"JNS, Yahoo Sports",https://www.i24news.tv/en/news/international/sport/1596555425-former-nfl-player-larry-johnson-tweets-anti-semitic-tropes,,,,
Jonathan Allen,Playing,2022,"granddad, hitler and michael jackson","Responds to a fan's question about who he would like to have, dead or alive,  at the dinner table",Twitter/X,Controversy,Negative,Deleted,Medium,ESPN,https://www.espn.com/nfl/story/_/id/33254443/washington-commanders-dt-jonathan-allen-apologizes-saying-dine-hitler,,,,
LeSean Shady Mccoy,Playing,2019,The worst day ever....they killed iron man,Spoils the ending of highly anticipated movie Avengers: Endgame,Twitter/X,Controversy,Negative,Active,Low,IMDb ,https://www.imdb.com/news/ni62461533/,,,,
Marquette King,Playing,2020,If I played rugby I would dominate easily,"Tweets about dominating the rugby if ever played, receiving roasts from rugby players",Twitter/X,Controversy,Negative,Deleted,Medium,ESPN,https://www.espn.com/rugby/story/_/id/29344948/former-nfl-punter-receives-roasting-rugby-players-dominate-tweet,,,,
Robert Griffin III,Retired,2025,I didn't fall in love with Grete because of her skin color. I fell in love with her heart.,Defends his wife from those who commented about her skin color,Twitter/X,Support,Positive,Active,Low,Major Entertainment Outlet,https://www.yahoo.com/entertainment/celebrity/articles/nfl-robert-griffin-iii-stirs-173949328.html,,,,
Kyle Pitts,Playing,2026,All that talk and fake emotion and nobody want to show up to lay you to rest...Just at a loss of words,Pointing out the teammates who didn't show up to respect Rondale Moore's funeral,Instagram,Controversy,Negative,Unavailable,Medium,US Weekly ,https://sports.yahoo.com/articles/kyle-pitts-calls-teammates-fake-193445440.html,,,,
Baker Mayfield,Playing,2026,Still waiting on a text/call from him after I got shipped off like a piece of garbage.,Throws shade at former coach Kevin Stefanski regarding their time working together under the Cleveland Brown,Twitter/X,Controversy,Negative,Active,Medium,US Weekly ,https://sports.yahoo.com/articles/shipped-off-piece-garbage-baker-130729364.html,,,,
Puka Nacua,Playing,2025,I don't think I'll be ready to get married anytime soon...I'm [trying to] win a Super Bowl,Ex-girlfriend has shared pictures of baby during Rams Game after paternity discussion,St. Brown Podcast,Controversy,Negative,Available,Medium,US Weekly,https://www.usmagazine.com/entertainment/news/puka-nacuas-ex-shares-baby-pics-during-rams-game-after-paternity-fight/,,,,
Taylor Lewan,Retired,2026,...my pregnant wide and two daughters are flying to meet me...my oldest daughter isn't on their connecting flight..told the wait would be two and a half hours.,Issues problems with family's flight under Alaska Airlines when they worked to visit him,Twitter/X,Controversy,Mixed,Active,Medium,US Weekly ,https://www.yahoo.com/entertainment/celebrity/articles/former-nfl-player-taylor-lewan-180101452.html,,,,
Breiden Fehoko,Retired,2026,These NFL teams come out here and post these mental health awareness posts...All they care about is what you bring to the table when it's game day.,"After the death of Rondale Moore, Fehoko hones in on the NFL's handling of the passing and mental health as a whole. ",Twitter/X,Support,Mixed,Active,Medium,US Weekly ,https://sports.yahoo.com/articles/ex-nfl-player-critical-league-195849417.html,,,,
Ryan Leaf,Retired,2026,...going to the best Dr available instead of having to be butchered on by @ProFootballDoc #FakeDrChao,Calls out a doctor's practices and capabilities after past experience being looked at by the doctor and negligence reports released about him,Twitter/X,Controversy,Mixed,Active,Medium,"US Weekly, AOL",https://www.aol.com/articles/former-nfl-qb-ryan-leaf-230331087.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAKXEvsXD1LXyXgXjG7XQI8_Rmj8tlILgREZTvg0Tw0FPvatBElsL-rgP7uY5MMkb7hT8LkRAYcltB5f15jyPQVGsDyIeZ7iYLapgIiERTEAUw-dGvCk0hA8SqOmdnwYy5Q7MDOyxu3D_DOiuT4F9DQtYFRQTk0TwR6z536vsIatD,,,,
Travis Kelce,Playing,2026,Those moments of rising to the occasion in the heat of the battle...that's a feeling I know I'll never get again,Discussion about future plans of retirement while looking back on the enjoyment of playing football,"""New Heights"" podcast",Reflection,Positive,Available,Medium,"Yahoo Sports, People",https://sports.yahoo.com/articles/travis-kelce-career-planned-nfl-130453202.html,,,,
Vernon Davis,Retired,2026,...reporting and look foward to clearing my name..Your positivity means everything. ,"Defending himself online after allegations of attacking a woman, resulting in arrest warrant being issued",Instagram,Controversy,Negative,Active,High,"People, New York Post, TMZ",https://people.com/vernon-davis-breaks-silence-on-allegations-he-attacked-pregnant-woman-11896782,,,,
Cam Newton,Retired,2026,...women's value gets lowered the more children that they have,"Asked about his opinion when it comes to the number of children a woman have tied to their value, resulting in some controversial answers being made","""It's Giving"" podcast",Controversy,Negative,Available,High,"Yahoo Sports, ESPN, People",https://www.aol.com/articles/former-nfl-quarterback-cam-newton-213948646.html,,,,
Tom Brady,Retired,2026,It was a challenge. It just took a lot out of me in terms of my ability to play.,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage,FS1's The Herd with Colin Cowherd,Reflection,Negative,Available,Medium,"Fox Sports, Yahoo Sports",https://www.usmagazine.com/celebrity-news/news/tom-bradys-divorce-took-a-lot-out-of-me-during-his-last-nfl-season/,,,,
A.J. Brown,Playing,2025,"If you're not welcomed, not listened to, quietly withdraw. Don't make a scene.",He wasn't as involved in the game with Tampa Bay Buccaneers as desired; later posting cryptic message about his frustration;,Twitter/X,Controversy,Mixed,Active,Medium,Yahoo Sports,https://www.nfl.com/news/a-j-brown-let-frustrations-boil-over-in-cryptic-post-after-eagles-win-over-buccaneers,,,,
Lil'Jordan Humphrey,Playing,2026,🤚🏽,"After getting a trade, the Broncos gave Humphrey's number to the new player, to which he hints a new number. ",Twitter/X,Support,Positive,Active,Low,BroncosWire,https://broncoswire.usatoday.com/story/sports/nfl/broncos/2026/03/20/broncos-liljordan-humphrey-jersey-number/89231245007/,,,,
Amik Robertson,Playing,2025,Well deserved 97!!!! Lord!! He gone pull up tomorrow at practice in a spaceship car!!! 💰,"Reaction to the $180 million contract extension of Aidan Hutchinson, making him one of those with highest non-quarterback average salaries",Twitter/X,Support,Positive,Active,Low,Athlon Sports ,https://sports.yahoo.com/article/amik-robertson-hilarious-reaction-aidan-225021132.html,,,,
J.K. Dobbins,Playing,2025,BAN OR ATLEAST CALL THE MUTHER FUCKIN HIP DROP TACKLE!,"During the game against the Las Vegas Raiders, Dobbins left the game because of a hip-drop tackle. Lack of enforcement from the officials occurred. ",Twitter/X,Controversy,Positive,Active,Low,BroncosWire,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/j-k-dobbins-injured-his-foot-on-what-he-believes-was-a-hip-drop-tackle,,,,
Jason Kelce,Retired,2025,Gaints kicker is gonna have to fly home on Southwest,"Reaction to mistake made by Jude McAtamney, aiding in Giants' loss",Twitter/X,Controversy,Mixed,Deleted,Medium,"MSN, US Weekly",https://www.usmagazine.com/celebrity-news/news/jason-kelce-deletes-tweet-mocking-giants-kicker-who-was-cut-from-team/,,,,
Emeka Egbuka,Playing,2026,Is CTE even real? 🤔,Reasoned that made tweet was not posted by him as he does not operate the account,Twitter/X,Controversy,Mixed,Deleted,Medium,"Total Pro Sports, Yahoo Sports",https://sports.yahoo.com/articles/emeka-egbuka-tweet-cte-real-203551445.html,,,,
Ed Reed,Retired,2026,I do not approve this message ,Responds to White House video using NFL highlights to promote war imaginery; Reed publicly rejects association,Twitter/X,Controversy,Negative,Active,Medium,"AOL News, Yahoo News, Washington Post",https://sports.yahoo.com/articles/nfl-legend-does-not-approve-135615792.html,,,,
Caleb Williams,Playing,2026,❄️🦸🏻,Reaction to Lil Wayne's tweet after the Bears defeat Green Bay in the NFL Playoffs,Twitter/X,Support,Positive,Active,Medium,"Bleacher Report, Yahoo Sports",https://sports.yahoo.com/articles/caleb-williams-fires-back-packers-062855936.html,,,,
Cooper Kupp,Playing,2025,...always believed it was going to begin and end in LA....looking forward to playing elite football for years to come. ,Traded to the Seattle Seahawks after desire to remain in the Rams; then becoming a rival to previous team in the Super Bowl,Twitter/X,Reflection,Positive,Active,Medium,CNN Sports,https://www.espn.com/nfl/story/_/id/46932042/seattle-seahawks-cooper-kupp-return-los-angeles-rams-exit,,,,
J.J. Watt,Retired,2022,My heart is filled with nothing but love and gratitude. It's an absolute honor and a pleasure. ,Announces his retirement and reflects on football journey ,Twitter/X,Reflection,Positive,Active,Medium,ESPN,https://www.espn.com/nfl/story/_/id/35328432/cardinals-jj-watt-announces-final-nfl-season,,,,
Saquon Barkley,Playing,2025,"Maybe I just respect the office, not a hard concept to understand. ",Responds to criticism over golfing with Trump before the Eagles visited the White House,Twitter/X,Controversy,Negative,Active,High,"CBS News, Yahoo Sports, NBC News",https://sports.yahoo.com/nfl/article/saquon-barkley-defends-decision-to-golf-with-president-donald-trump-before-eagles-white-house-visit-154715971.html,,,,
Joe Burrow,Playing,2026,"The amount of ppl that don’t understand what a catch is in the rule book flabbergasts me...The two plays yesterday were not difficult calls, and they got them both right",First tweet in two years was to respond to controversial calls in the Bills vs. Broncos and Bears vs. Rams games,Twitter/X,Humor,Positive,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/joe-burrow-just-tweeted-first-231704693.html,,,,
Patrick Mahomes,Playing,2026,⏰,Has a playful interactionwith free agent WR Allen Lazard under the post increasing the anticipation for his return to the upcoming season,Instagram,Humor,Positive,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/patrick-mahomes-allen-lazards-playful-113300993.html,,,,
Justin Jefferson,Playing,2024,Yall wild for posting this 👎🏽This ain't cool!!,Criticized the NFL for being insensitive,Twitter/X,Controversy,Mixed,Active,Medium,Yahoo Sports,https://sports.yahoo.com/twitter-justin-jefferson-call-league-022609777.html,,,,
Jonathan Owens,Playing,2024,I always say the men are the catch.,"He made comments about how he met his wife Simone Biles through a dating app, which has drawn attention to people even outside of the football world.","""The Pivot"" podcast",Controversy,Negative,Available,High,"Today, People, Yahoo Sports",https://sports.yahoo.com/jonathan-owens-disappointed-podcast-comments-230735434.html,,,,
Cam Newton,Retired,2026,"When you have unconditional love for somebody, especially someone like that, it's almost like there's nothing you can tel me that will make me look at you differently.",Discusses about the difficulty about learning about the LGBTQ community unless constant attempt to learn about them themselves as he learned about his father's sexual orientation ,Funky Friday podcast,Support,Mixed,Available,Low,OutSports,https://sports.yahoo.com/nfl-cam-newton-trash-talk-hs-football-player-social-media-calls-out-disrespect-im-rich-200142619.html,,,,
Cam Skattebo,Playing,2026,"Yeah, asthma's fake too",Discusses about belief that CTE and asthma are fake and excuses for not poor performance and skillset,Bring the Juice podcast,Controversy,Negative,Available,High,"NBC Sports, CBS Sports, Daily Mail",https://www.dailymail.com/sport/nfl/article-15666519/new-york-giants-cam-skattebo-cte.html,,,,
Christian McCaffrey,Playing,2026,My superpower [is] my new daughter Colette. ,"After receiving the NFL honors, he honored the award to his newly born daughter. ",Instagram,Reflection,Positive,Active,Low,MSN,https://www.msn.com/en-us/sports/nfl/a-new-chapter-49ers-rb-christian-mccaffrey-and-olivia-culpo-welcome-baby-girl/ar-AA1IwK2q?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,,,,
DJ Chark,Retired,2026,"After much contemplation, I have decided to share a proper farewell as I navigate retirement. ",Posts about retiring from the NFL at the age of 29 and pursue the next part of his life,Instagram,Reflection,Positive,Active,Low,New York Post,https://nypost.com/2026/03/20/sports/former-pro-bowl-wideout-dj-chark-retires-from-nfl-at-29/,,,,
Antonio Brown,Retired,2026,"If the rumours are true, the US just lost its President...","Brown posts another unpredictable tweet without any additional context or information, resulting in a stir in discussion. ",Twitter/X,Controversy,Negative,Active,Low,NFL,https://www.foxnews.com/sports/antonio-brown-sends-bizarre-tweet-claiming-he-will-end-retirement-play-ravens,,,,
Tyreek Hill,Playing,2025,✌🏽,Made a remark on social media after a game where the Dolphins quarterback Tua Tagovailoa was benched,Twitter/X,Controversy,Mixed,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/tyreek-hill-posts-cryptic-message-205109662.html,,,,
Tua Tagovailoa,Playing,2025,...it starts with the leadership,"After the game loss, he expressed the lack of seriousness from other Dolphins players to show up to players-only meetings, aiding in the loss. ",Postgame interview,Controversy,Negative,Available,Low,SI,https://www.nfl.com/news/dolphins-tua-tagovailoa-calls-out-attendance-at-players-only-meetings-following-loss-to-chargers,,,,
Josh Allen,Playing,2026,I let my teammates down tonight...This is gonna stick with me for a long time. ,"After losing in the Divisional Round, Allen emotionally reflects on his performance, affecting team's progression in the Playoffs. ",Postgame press conference,Reflection,Positive,Available,High,"USA Today, the New York Times, People",https://www.nfl.com/news/bills-josh-allen-laments-playoff-loss-broncos-let-my-teammates-down,,,,
Dion Dawkins,Playing,2026,He didn't let us down.,"Hearing about Josh Allen's emotional self-reflection on game, Dawkins becomes emotional defending the quarterback",Locker room report,Support,Mixed,Available,Medium,Yahoo Sports,https://sports.yahoo.com/articles/bills-locker-room-back-qb-144533874.html,,,,
Shawne Merriman,Retired,2026,The NFL is smart. They're gonna make the most money they possibly can...,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  ",Outkick's Don't @ Me podcast,Support,Mixed,Available,Medium,Fox News,https://www.foxnews.com/sports/ex-nfl-star-shawne-merriman-advocating-players-get-paid-more-when-tv-rights-deals-explode,,,,
Russell Wilson,Playing,2022,New team. New ball. New season. Let's Ride!,"Wilson promoted the TNF's movement to Prime Video by showing off a ""new ball"" for 2022 with a catch phrase ""Let's Ride"" which has been a meme. ",Twitter/X,Humor,Positive,Active,Medium,Yahoo Sports ,https://sports.yahoo.com/russell-wilson-promotes-amazon-thursday-120024789.html,,,,
Patrick Mahomes,Playing,2025,Why yall let me keep that nappy hair for so long?,"Talked about wanting to get a haircut and debut a new look in the future, sparking criticism from others about seeing the comment as ""anti-black""",Local Kansas City news interview,Controversy,Negative,Available,Medium,Yahoo Sports,https://sports.yahoo.com/article/patrick-mahomes-sparks-controversy-talking-211552277.html,,,,
Harrison Butker,Playing,2024,"Things like abortion, IVF, surrogacy, euthanasia, as well as a growing support for degenerative cultural values in media all stem from the pervasiveness of disorder.",Shared his views on social and political issues like gender roles and the LGBTQ community to college students at Benedictine College; went viral as spread across different platforms,Public appearance,Controversy,Negative,Active,Low,y!entertainment,https://www.cbsnews.com/news/harrison-butker-commencement-speech-abortion-pride-month-biden-diabolic-lies-told-women/,,,,
DeSean Jackson,Playing,2020,I just want to first off extend an apology on behalf of me and what I stand for...I never want to put any race down or any people down,"Apologized for previous anti-Semitic posts made, one in which included a quote of Hitler about Jews ",Instagram,Apology,Negative,Unavailable,Medium,"CNN, Yahoo Sports",https://www.cnn.com/2020/07/07/us/desean-jackson-eagles-antisemitic-post-trnd,,,,
Travis Kelce,Playing,2024,"It's a great honor...no matter who the president is, I know I'm excited because it's the biggest game of my life...",Answers question about his opinion when hearing Trump attending the Super Bowl LIX,Pre-Super Bowl press conference,Controversy,Negative,Available,High,"People, Billboard, Vanity Fair",https://people.com/travis-kelce-says-it-s-a-great-honor-to-have-trump-at-super-bowl-8786317,,,,
Cam Akers,Playing,2026,...he pushed the back of my head. I then turned around and punched him...AD saved me 😂,"During a Rams-Raiders joint practice about 3 years after this tweet, Akers and Crosby were involved in a scuffle. Akers responds to the a video in which Crosby talks about the incident in a playfal manner. ",Twitter/X,Humor,Positive,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/cam-akers-says-aaron-donald-142026159.html,,,,
DeAndre Hopkins,Playing,2026,...🐅,Post ignites speculation of where the free agent may go after Baltimore,Twitter/X,Humor,Mixed,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/deandre-hopkins-addresses-wanting-ravens-190932304.html,,,,
DeAndre Hopkins,Playing,2026,How many times after this do you think I was used in the red zone?,Vents frustration of past 2025 season with the Baltimore Ravens with feelings that he wasn't used to his fullest potential,Twitter/X,Controversy,Negative,Deleted,Low,Yardbarker,https://sports.yahoo.com/articles/deandre-hopkins-airs-frustrations-ravens-020617578.html,,,,
Michael Thomas,Playing,2024,Derek Carr for you...I been told yall s*** sad...,"Shows frustration about the Saints performance, putting blame on the quarterback Derek Carr",Twitter/X,Controversy,Negative,Unavailable,Low,4WWL,https://www.usatoday.com/story/sports/nfl/2024/11/03/michael-thomas-derek-carr-twitter-x-saints/76032365007/,,,,
Cole Beasley,Playing,2021,From what Ive been told these are guidelines for preseason and it's nothing final. ,Voices opinion of the NFLPA that designed the then-new COVID-19 rules restricting unvaccinated players from playing ,Twitter/X,Controversy,Negative,Active,Medium,Yahoo Sports,https://sports.yahoo.com/buffalo-bills-cole-beasley-calls-nflpa-a-joke-new-covid19-coronavirus-rules-restricting-unvaccinated-players-193720432.html,,,,
Logan Wilson,Retired,2026,It still wasn't holding in my humble opinion 😂,"Responds to video of when he was called for holding, aiming in the Bengals not winning the Super Bowl LVI ",Twitter/X,Humor,Positive,Active,Low,MSN,https://www.si.com/nfl/bengals/onsi/allbengals-insiders-plus/logan-wilson-comments-on-controversial-super-bowl-pass-interference-following-nfl-retirment-01km3qjx24q2,,,,
Stefon Diggs,Playing,2023,Stay down ignore the noise. Grind like you only got 1 shot.  ,Shares an encouraging message to draft prospects waiting to hear about NFL draft decisions,Twitter/X,Support,Positive,Unavailable,Low,Heavy Sports,https://heavy.com/sports/nfl/buffalo-bills/stefon-diggs-nfl-draft-tweet/,,,,
Damar Hamlin,Playing,2023,"The love is felt, & extremely real. No matter race or religion everybody coming together in prayer! 🙏❤️","After resting from medical-induced coma due to on-field cardiac arrest against the Cincinnati Bengals, Hamlin shared gratitude for those who wished him well. ",Twitter/X,Support,Positive,Active,Medium,CBS News,https://www.cbsnews.com/news/damar-hamlin-first-public-comments-cardiac-arrest-buffalo-bills/,,,,
Josh Allen,Playing,2023,I saw some stuff on Twitter and people should not be attacking him whatsoever. I'm glad that Damar's family came out and said that. ,"Comes to the defense of Tee Higgins, who received hate from tackle leading to Hamlin to being hospitalized",Post-practice news conference,Support,Positive,Available,Low,Cincinnati Enquirer,https://www.cincinnati.com/story/sports/nfl/bengals/2023/01/05/josh-allen-people-should-not-be-attacking-tee-higgins-whatsoever-as-damar-hamlin-recovers-cincinnati/69782959007/?gnt-cfr=1&gca-cat=p&gca-uir=true&gca-epti=z115240e1162xxv115240d--58--b--58--&gca-ft=200&gca-ds=sophi,,,,
Travis Kelce,Playing,2025,"Why are you guys leaning into this whole thing? You know what I mean? Like, why are you guys leaning into it? That's all I got though.",NFL fans accussed officials of favoritism towards the Chiefs to which media has asked Kelce about allegation. ,Super Bowl LIX Opening Night,Controversy,Negative,Available,Medium,Fox News,https://www.foxnews.com/sports/chiefs-travis-kelce-asks-reporters-why-you-guys-leaning-whole-ref-thing,,,,
Deshaun Watson,Playing,2022,I want to say that I'm truly sorry to all of the women that I have impacted in this situation,Apologizes to the women who publicly accused him of sexual misconduct during massage sessions,Interview on Browns' pregame show,Apology,Negative,Available,Medium,ESPN,https://www.espn.com/nfl/story/_/id/34390654/cleveland-browns-deshaun-watson-interview-apologizes-all-women-impacted-situation,,,,
Kadarius Toney,Free agent,2025,Goofies on the net hollerin I'm retiring,"While his free agency duration, fans wondered if Toney would retire from the NFL and start a rap career as Yung Joka. ",Instagram,Humor,Mixed,Unavailable,Medium,CBS Sports,https://nypost.com/2025/04/18/sports/kadarius-toney-responds-after-retirement-rumors-run-wild/,,,,
Mecole Hardman,Playing,2024,There were FALSE accusations made about me and MY CHARACTER! ,Response after former New York Jets teammates accussed that Hardman leaked game plans to two opponents,Twitter/X,Controversy,Negative,Unavailable,Medium,ESPN,https://www.espn.com/nfl/story/_/id/39633369/mecole-hardman-denies-leaking-jets-game-plans-chiefs-eagles,,,,
Dak Prescott,Playing,2020,"I think it's huge to talk, I think it's huge to get help and it saves lives. ","Opens about mental health struggles during the quarantine, advising the importance of taking care of one's mental health",In Depth With Granham Bensinger in-depth interview,Support,Positive,Available,Medium,The New York Times,https://www.nytimes.com/athletic/2058072/2020/09/10/it-saves-lives-dak-prescott-opens-up-on-mental-health-value-of-transparency/,,,,
George Kittle,Playing,2024,They had us in the first half not gonna lie,"When advancing to the Super Bowl, Kittle brought back a popular meme cited by a Texas high school football player back in a 2014 interview.",Postgame Interview,Humor,Positive,Available,Low,Larry Brown Sports,https://ninerswire.usatoday.com/story/sports/nfl/niners/2024/01/30/george-kittle-49ers-comeback-nfc-championship-had-us-in-the-first-half/79537007007/,,,,
Aaron Rodgers,Playing,2021,"To anyboady who felt misled by those comments, I take full responsibility for those comments. ","Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment",The Pat McAfee Show,Controversy,Negative,Available,Medium,"ESPN, the New York Times",https://www.nfl.com/news/aaron-rodgers-full-responsibility-misleading-comments-covid-19-vaccine,,,,
CeeDee Lamb,Playing,2025,"Just pay the man, what you owe em. No need for the extra curricular.",Publicly backed up teammate Micah Parsons with contract issues under the Dallas Cowboys,Twitter/X,Support,Positive,Unavailable,Medium,Yahoo Sports,https://sports.yahoo.com/article/ceedee-lamb-tells-jerry-jones-190837198.html,,,,
Justin Fields,Playing,2023,"...I'm never going to blame anything on the coaches. I'm never going to blame anything on my teammates. Whatever happens in the game, I will take all the blame.","After previous comments made regarding his coaches which resulted in further discussion, Fields clarified his stance with his coaches and team.",Media session ,Support,Mixed,Available,Medium,"NBC Sports, Fox News",https://www.nfl.com/news/bears-qb-justin-fields-clarifies-robotic-comments-i-m-not-blaming-anything-on-th,,,,
Roger Goodell,,2019,,,,Controversy,Negative,,Medium,Yahoo Sports,https://sports.yahoo.com/roger-goodell-breaks-silence-controversial-no-call-nfc-championship-game-182248316.html,Roger Goodell breaks silence on controversial no-call in NFC championship game,0.2222972926510192,62.0,NFL fans accussed officials of favoritism towards the Chiefs to which media has asked Kelce about allegation. 
,,2019,,,,Controversy,Negative,,Medium,Business Insider,https://www.businessinsider.com/the-biggest-nfl-controversies-in-100-year-history-2019-9,The 12 biggest controversies in the NFL's 100-year history,0.1838636305343907,25.0,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage
Uncle Luke Speaks,,2019,,,,Controversy,Positive,,Medium,bet.com,https://www.bet.com/article/fmac1f/uncle-luke-speaks-on-jay-z-s-nfl-deal-controversy,Uncle Luke Speaks On Jay-Z's NFL Deal Controversy,0.1524692735513186,48.0,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  "
,,2019,,,,Controversy,Negative,,Medium,USA Today,https://www.usatoday.com/story/sports/nfl/2019/01/27/super-bowl-nfl-umpire-roy-ellison/2678053002/,The big-time NFL umpire who has a history of controversy,0.1557721143667396,62.0,NFL fans accussed officials of favoritism towards the Chiefs to which media has asked Kelce about allegation. 
,,2019,,,,Controversy,Negative,,High,NFL.com,https://www.nfl.com/news/saints-crushed-after-controversial-no-call-helps-end-playoff-ru-0ap3000001012303,Saints crushed after controversial no-call helps end playoff run,0.1722533331083956,57.0,"Shows frustration about the Saints performance, putting blame on the quarterback Derek Carr"
